t,vout,dctrl
0.001330,5.417250,5.907996
0.001332,5.422093,5.907996
0.001334,5.424480,5.907996
0.001336,5.424416,5.907996
0.001338,5.421904,5.907996
0.001340,5.416950,5.911996
0.001342,5.411847,5.915996
0.001344,5.409387,5.915996
0.001346,5.409566,5.915996
0.001348,5.412378,5.915996
0.001350,5.417816,5.915996
0.001352,5.423082,5.915996
0.001354,5.425890,5.915996
0.001356,5.426246,5.915996
0.001358,5.424151,5.915996
0.001360,5.419614,5.919996
0.001362,5.415433,5.919996
0.001364,5.413891,5.919996
0.001366,5.414985,5.919996
0.001368,5.418706,5.919996
0.001370,5.425051,5.919996
0.001372,5.431219,5.919996
0.001374,5.434924,5.919996
0.001376,5.436171,5.919996
0.001378,5.434962,5.919996
0.001380,5.431305,5.923996
0.001382,5.427997,5.923996
0.001384,5.427321,5.923996
0.001386,5.429274,5.923996
0.001388,5.433848,5.923996
0.001390,5.441038,5.923996
0.001392,5.448041,5.923996
0.001394,5.452575,5.923996
0.001396,5.454640,5.923996
0.001398,5.454241,5.923996
0.001400,5.451385,5.927997
0.001402,5.448868,5.927997
0.001404,5.448975,5.927997
0.001406,5.451698,5.927997
0.001408,5.457033,5.927997
0.001410,5.464972,5.927997
0.001412,5.472714,5.927997
0.001414,5.477974,5.927997
0.001416,5.480754,5.927997
0.001418,5.481059,5.927997
0.001420,5.478893,5.931997
0.001422,5.477055,5.931997
0.001424,5.477827,5.931997
0.001426,5.481205,5.931997
0.001428,5.487180,5.931997
0.001430,5.495746,5.931997
0.001432,5.504102,5.931997
0.001434,5.509962,5.931997
0.001436,5.513329,5.931997
0.001438,5.514205,5.931997
0.001440,5.512599,5.935997
0.001442,5.511303,5.935997
0.001444,5.512604,5.935997
0.001446,5.516494,5.935997
0.001448,5.522967,5.935997
0.001450,5.532017,5.935997
0.001452,5.540840,5.935997
0.001454,5.547152,5.935997
0.001456,5.550955,5.935997
0.001458,5.552252,5.935997
0.001460,5.551047,5.939997
0.001462,5.550139,5.939997
0.001464,5.551812,5.939997
0.001466,5.556057,5.939997
0.001468,5.562869,5.939997
0.001470,5.572239,5.939997
0.001472,5.581368,5.939997
0.001474,5.587970,5.939997
0.001476,5.592045,5.939997
0.001478,5.593596,5.939997
0.001480,5.592629,5.943997
0.001482,5.591942,5.943997
0.001484,5.593817,5.943997
0.001486,5.598248,5.943997
0.001488,5.605229,5.943997
0.001490,5.614751,5.943997
0.001492,5.624013,5.943997
0.001494,5.630731,5.943997
0.001496,5.634904,5.943997
0.001498,5.636538,5.943997
0.001500,5.635636,5.947998
0.001502,5.634996,5.947998
